@relation default
@attribute D00763_at integer
@attribute D13631_s_at integer
@attribute D14043_at integer
@attribute D14662_at integer
@attribute D25304_at integer
@attribute D42041_at integer
@attribute D45248_at integer
@attribute D50310_at integer
@attribute D80004_at integer
@attribute D85815_at integer
@attribute D87470_at integer
@attribute HG3514-HT3708_at integer
@attribute J03191_at integer
@attribute L06132_at integer
@attribute L08895_at integer
@attribute L25270_at integer
@attribute L36818_at integer
@attribute M16447_at integer
@attribute M20137_at integer
@attribute M31303_rna1_at integer
@attribute M57464_s_at integer
@attribute M75099_at integer
@attribute M83308_at integer
@attribute M93119_at integer
@attribute M93426_at integer
@attribute U06155_at integer
@attribute U07550_at integer
@attribute U09087_s_at integer
@attribute U16954_at integer
@attribute U17760_rna1_at integer
@attribute U30521_at integer
@attribute U33818_at integer
@attribute U51336_at integer
@attribute U66879_at integer
@attribute U70321_at integer
@attribute U79262_at integer
@attribute U79294_at integer
@attribute U90916_at integer
@attribute U91930_at integer
@attribute V01515_cds1_at integer
@attribute X00371_rna1_at integer
@attribute X03066_at integer
@attribute X04106_at integer
@attribute X52011_at integer
@attribute X54304_at integer
@attribute X61587_at integer
@attribute X65784_s_at integer
@attribute X73358_s_at integer
@attribute X76105_at integer
@attribute Z69915_at integer
@attribute Class {MED,MGL,RHB,EPD,JPA}
@data
491,21,165,243,270,178,141,989,592,175,84,273,338,437,43,22,105,89,117,724,293,96,198,628,20,59,390,75,931,54,1274,147,492,83,22,179,99,51,255,29,29,93,370,49,123,79,166,479,164,160,'MED'
350,54,166,228,250,103,84,1120,317,155,151,231,198,419,47,21,60,88,75,579,192,139,180,760,81,52,302,59,845,41,1308,96,419,20,20,192,150,20,321,23,20,89,388,31,123,69,205,433,62,172,'MED'
378,20,100,185,140,182,201,1232,387,155,166,415,197,325,20,22,25,106,68,608,73,184,157,596,85,41,272,62,1107,39,1393,77,238,51,31,215,86,20,355,25,20,88,482,39,125,57,238,799,80,184,'MED'
476,31,117,238,167,249,143,1132,312,136,106,335,365,474,45,21,55,78,101,619,111,181,146,825,40,63,378,88,1187,20,1075,115,268,98,55,187,113,54,306,21,28,84,497,33,176,69,197,588,183,164,'MED'
326,20,142,173,141,200,177,1030,370,155,88,341,195,517,20,25,40,75,83,676,32,113,146,536,205,58,191,65,969,46,1284,77,214,46,75,263,114,20,311,20,33,77,351,42,124,66,206,939,82,157,'MED'
337,20,100,138,120,191,174,814,278,134,169,432,73,366,25,21,34,102,24,651,38,139,173,471,71,71,245,84,1172,53,1341,94,200,30,22,233,87,20,375,22,41,86,478,36,145,58,215,790,208,158,'MED'
311,20,27,279,110,128,199,703,281,143,83,416,64,359,20,26,61,52,99,751,52,114,190,165,97,63,423,67,1010,57,1222,116,252,20,20,252,158,20,333,35,22,103,253,47,95,42,206,658,54,186,'MED'
151,20,61,52,77,118,42,1034,197,337,44,84,130,137,20,53,32,20,143,243,161,41,330,396,20,20,20,105,588,114,849,47,228,20,88,173,128,23,143,50,39,115,363,87,45,50,85,458,20,184,'MED'
65,20,49,52,56,104,27,1321,199,377,86,303,96,213,24,30,20,30,93,927,108,65,418,192,22,20,61,66,928,115,1414,68,199,20,30,200,141,22,289,43,42,89,445,64,92,42,118,1021,20,124,'MED'
171,20,24,113,109,116,21,716,291,344,35,212,269,191,20,41,31,35,165,927,315,76,427,213,28,22,20,64,469,101,348,92,277,20,57,154,124,20,195,51,41,123,444,68,20,32,72,496,20,159,'MED'
68,20,20,143,76,76,20,745,68,333,20,129,20,181,20,46,20,34,121,606,331,67,523,169,40,20,97,35,579,126,353,38,173,20,25,170,77,20,155,45,44,98,339,72,35,20,21,537,20,56,'MED'
93,20,20,57,26,94,87,956,320,334,70,190,133,147,20,20,20,44,149,871,57,56,355,536,25,20,20,61,1237,124,1080,65,240,20,102,299,88,20,239,46,53,91,439,90,37,40,169,1132,20,154,'MED'
68,20,42,37,20,90,90,984,314,260,41,137,90,250,20,42,20,45,102,1066,131,70,363,459,84,20,124,55,812,91,878,91,254,20,67,298,134,20,109,24,32,45,556,51,53,20,98,715,33,127,'MED'
63,20,41,98,27,132,42,1307,157,304,20,210,135,154,20,46,20,24,105,568,123,197,349,128,35,20,119,68,649,103,676,43,207,20,56,261,183,20,130,39,64,87,333,64,20,20,32,1283,20,85,'MED'
156,20,48,132,62,195,201,571,55,292,51,338,878,286,20,32,109,32,123,466,231,195,261,20,30,29,293,83,70,68,362,136,207,85,24,131,170,20,389,32,46,88,1009,43,344,74,217,305,86,64,'MED'
132,20,49,112,87,165,39,2082,307,254,55,227,223,205,20,31,30,42,160,746,277,23,265,701,20,20,143,90,1032,49,1073,200,302,20,46,215,111,20,229,22,38,84,398,50,57,32,88,616,50,396,'MED'
263,34,219,196,212,198,109,838,321,224,70,324,365,299,81,25,95,38,112,472,176,108,205,686,20,43,214,87,880,65,851,93,462,20,97,142,137,20,224,35,39,129,426,54,180,94,97,334,84,167,'MED'
245,20,135,151,197,170,82,1132,322,190,55,213,367,412,20,26,48,47,86,581,186,73,180,923,22,36,194,69,984,57,1003,76,446,20,92,171,100,20,252,36,37,107,472,49,78,78,152,574,82,185,'MED'
201,20,89,170,120,200,114,1434,235,197,76,253,181,372,20,33,54,57,121,604,119,156,190,409,76,32,246,104,1159,52,1137,73,262,20,72,185,131,20,235,38,43,116,334,42,51,65,85,1046,27,166,'MED'
95,20,35,73,66,99,88,1479,296,267,52,214,305,246,20,45,24,34,80,908,188,118,305,899,46,20,209,60,1108,93,1025,77,216,20,73,178,173,29,233,38,34,86,595,46,65,57,105,870,29,178,'MED'
114,28,83,125,85,113,149,1182,270,260,71,232,219,230,20,41,52,24,114,699,67,83,235,233,226,20,91,113,740,51,1224,110,296,20,98,222,172,20,353,25,39,109,371,47,72,46,133,796,20,183,'MED'
64,20,22,104,35,90,36,957,278,297,40,216,28,200,20,42,22,29,97,964,99,20,335,597,22,20,179,109,1443,89,1104,47,192,20,61,315,83,20,222,51,51,90,368,59,60,20,59,1047,20,215,'MED'
92,20,51,91,66,72,25,1008,349,285,39,162,20,181,20,45,33,32,117,732,73,20,287,1000,45,23,123,109,808,73,683,52,199,20,68,120,391,20,161,45,42,133,307,67,46,20,25,422,20,140,'MED'
95,20,29,105,20,105,49,435,169,265,65,110,20,105,20,35,20,33,86,830,25,41,405,174,42,24,79,121,945,81,470,20,79,260,57,101,297,20,195,43,20,146,585,70,20,20,53,458,20,90,'MED'
78,20,33,65,20,94,25,569,415,249,20,250,113,179,20,49,30,20,106,1093,22,20,319,201,105,33,67,66,861,80,1005,20,143,20,105,152,20,20,285,20,20,116,102,41,20,20,88,357,20,139,'MED'
204,20,69,153,111,257,120,831,173,190,100,297,122,303,20,36,59,75,140,515,77,116,167,686,166,52,142,28,981,62,1040,70,169,32,134,259,85,20,287,42,48,109,304,45,86,53,72,825,56,278,'MED'
