0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
U16954_at,M31303_rna1_at,U79262_at,D80004_at,D50310_at,Z69915_at,M93119_at,U09087_s_at,X73358_s_at,U30521_at,L37792_at,U79248_at,X00371_rna1_at,V01515_cds1_at,M20137_at,D85815_at,U17760_rna1_at,L25270_at,M83308_at,X52011_at,X03066_at,U70321_at,L36463_at,L43338_at,J03191_at,D42041_at,M57464_s_at,HG3514-HT3708_at,X54304_at,D45248_at,X04106_at,L06132_at,U33818_at,D14043_at,Z97074_at,X15187_at,D14662_at,X76105_at,U07550_at,D00763_at,U06155_at,L36818_at,M75099_at,X65784_s_at,U91930_at,U66879_at,U01923_at,S79873_s_at,U79294_at,M16447_at,D25304_at,D13631_s_at,M93426_at,U51336_at,D87470_at,L08895_at,X61587_at,U90916_at,X60188_at,U48705_rna1_s_at
931,724,179,592,989,160,628,75,479,1274,197,47,29,29,117,175,54,22,198,49,93,22,236,37,338,178,293,273,123,141,370,437,147,165,51,523,243,164,390,491,59,105,96,166,255,83,302,132,99,89,270,21,20,492,84,43,79,51,27,188
845,579,192,317,1120,172,760,59,433,1308,186,60,20,23,75,155,41,21,180,31,89,20,223,38,198,103,192,231,123,84,388,419,96,166,66,478,228,62,302,350,52,60,139,205,321,20,249,129,150,88,250,54,81,419,151,47,69,20,45,131
1107,608,215,387,1232,184,596,62,799,1393,190,66,20,25,68,155,39,22,157,39,88,31,210,38,197,182,73,415,125,201,482,325,77,100,66,423,185,80,272,378,41,25,184,238,355,51,309,198,86,106,140,20,85,238,166,20,57,20,95,156
1187,619,187,312,1132,164,825,88,588,1075,151,53,28,21,101,136,20,21,146,33,84,55,208,34,365,249,111,335,176,143,497,474,115,117,46,564,238,183,378,476,63,55,181,197,306,98,232,164,113,78,167,31,40,268,106,45,69,54,109,198
969,676,263,370,1030,157,536,65,939,1284,211,61,33,20,83,155,46,25,146,42,77,75,231,29,195,200,32,341,124,177,351,517,77,142,78,368,173,82,191,326,58,40,113,206,311,46,260,143,114,75,141,20,205,214,88,20,66,20,83,193
1172,651,233,278,814,158,471,84,790,1341,120,62,41,22,24,134,53,21,173,36,86,22,237,26,73,191,38,432,145,174,478,366,94,100,61,458,138,208,245,337,71,34,139,215,375,30,319,199,87,102,120,20,71,200,169,25,58,20,131,171
1010,751,252,281,703,186,165,67,658,1222,260,50,22,35,99,143,57,26,190,47,103,20,252,40,64,128,52,416,95,199,253,359,116,27,81,502,279,54,423,311,63,61,114,206,333,20,259,130,158,52,110,20,97,252,83,20,42,20,86,142
588,243,173,197,1034,184,396,105,458,849,190,47,39,50,143,337,114,53,330,87,115,88,259,81,130,118,161,84,45,42,363,137,47,61,33,212,52,20,20,151,20,32,41,85,143,20,26,42,128,20,77,20,20,228,44,20,50,23,20,67
928,927,200,199,1321,124,192,66,1021,1414,183,54,42,43,93,377,115,30,418,64,89,30,149,55,96,104,108,303,92,27,445,213,68,49,73,289,52,20,61,65,20,20,65,118,289,20,45,37,141,30,56,20,22,199,86,24,42,22,20,167
469,927,154,291,716,159,213,64,496,348,114,32,41,51,165,344,101,41,427,68,123,57,271,51,269,116,315,212,20,21,444,191,92,24,39,294,113,20,20,171,22,31,76,72,195,20,38,35,124,35,109,20,28,277,35,20,32,20,20,41
579,606,170,68,745,56,169,35,537,353,157,38,44,45,121,333,126,46,523,72,98,25,236,57,20,76,331,129,35,20,339,181,38,20,36,212,143,20,97,68,20,20,67,21,155,20,20,20,77,34,76,20,40,173,20,20,20,20,20,22
1237,871,299,320,956,154,536,61,1132,1080,135,21,53,46,149,334,124,20,355,90,91,102,287,69,133,94,57,190,37,87,439,147,65,20,47,133,57,20,20,93,20,20,56,169,239,20,41,37,88,44,26,20,25,240,70,20,40,20,20,62
812,1066,298,314,984,127,459,55,715,878,239,39,32,24,102,260,91,42,363,51,45,67,197,27,90,90,131,137,53,90,556,250,91,42,55,234,37,33,124,68,20,20,70,98,109,20,31,26,134,45,20,20,84,254,41,20,20,20,20,20
649,568,261,157,1307,85,128,68,1283,676,250,50,64,39,105,304,103,46,349,64,87,56,225,64,135,132,123,210,20,42,333,154,43,41,46,274,98,20,119,63,20,20,197,32,130,20,45,41,183,24,27,20,35,207,20,20,20,20,20,20
70,466,131,55,571,64,20,83,305,362,93,27,46,32,123,292,68,32,261,43,88,24,194,34,878,195,231,338,344,201,1009,286,136,48,51,444,132,86,293,156,29,109,195,217,389,85,86,77,170,32,62,20,30,207,51,20,74,20,20,271
1032,746,215,307,2082,396,701,90,616,1073,154,59,38,22,160,254,49,31,265,50,84,46,181,46,223,165,277,227,57,39,398,205,200,49,41,447,112,50,143,132,20,30,23,88,229,20,61,77,111,42,87,20,20,302,55,20,32,20,20,98
880,472,142,321,838,167,686,87,334,851,132,43,39,35,112,224,65,25,205,54,129,97,271,41,365,198,176,324,180,109,426,299,93,219,25,581,196,84,214,263,43,95,108,97,224,20,183,112,137,38,212,34,20,462,70,81,94,20,31,138
984,581,171,322,1132,185,923,69,574,1003,228,56,37,36,86,190,57,26,180,49,107,92,256,43,367,170,186,213,78,82,472,412,76,135,45,239,151,82,194,245,36,48,73,152,252,20,118,94,100,47,197,20,22,446,55,20,78,20,25,121
