@relation default
@attribute D00763_at integer
@attribute D13631_s_at integer
@attribute D14662_at integer
@attribute D25304_at integer
@attribute D42041_at integer
@attribute D80004_at integer
@attribute D85815_at integer
@attribute HG3514-HT3708_at integer
@attribute J03191_at integer
@attribute M16447_at integer
@attribute M20137_at integer
@attribute M31303_rna1_at integer
@attribute M57464_s_at integer
@attribute U07550_at integer
@attribute U16954_at integer
@attribute U79262_at integer
@attribute U79294_at integer
@attribute V01515_cds1_at integer
@attribute X00371_rna1_at integer
@attribute X76105_at integer
@attribute Class {MED,MGL,RHB,EPD,JPA}
@data
491,21,243,270,178,592,175,273,338,89,117,724,293,390,931,179,99,29,29,164,'MED'
350,54,228,250,103,317,155,231,198,88,75,579,192,302,845,192,150,23,20,62,'MED'
378,20,185,140,182,387,155,415,197,106,68,608,73,272,1107,215,86,25,20,80,'MED'
476,31,238,167,249,312,136,335,365,78,101,619,111,378,1187,187,113,21,28,183,'MED'
326,20,173,141,200,370,155,341,195,75,83,676,32,191,969,263,114,20,33,82,'MED'
337,20,138,120,191,278,134,432,73,102,24,651,38,245,1172,233,87,22,41,208,'MED'
311,20,279,110,128,281,143,416,64,52,99,751,52,423,1010,252,158,35,22,54,'MED'
151,20,52,77,118,197,337,84,130,20,143,243,161,20,588,173,128,50,39,20,'MED'
65,20,52,56,104,199,377,303,96,30,93,927,108,61,928,200,141,43,42,20,'MED'
171,20,113,109,116,291,344,212,269,35,165,927,315,20,469,154,124,51,41,20,'MED'
68,20,143,76,76,68,333,129,20,34,121,606,331,97,579,170,77,45,44,20,'MED'
93,20,57,26,94,320,334,190,133,44,149,871,57,20,1237,299,88,46,53,20,'MED'
68,20,37,20,90,314,260,137,90,45,102,1066,131,124,812,298,134,24,32,33,'MED'
63,20,98,27,132,157,304,210,135,24,105,568,123,119,649,261,183,39,64,20,'MED'
156,20,132,62,195,55,292,338,878,32,123,466,231,293,70,131,170,32,46,86,'MED'
132,20,112,87,165,307,254,227,223,42,160,746,277,143,1032,215,111,22,38,50,'MED'
263,34,196,212,198,321,224,324,365,38,112,472,176,214,880,142,137,35,39,84,'MED'
245,20,151,197,170,322,190,213,367,47,86,581,186,194,984,171,100,36,37,82,'MED'
201,20,170,120,200,235,197,253,181,57,121,604,119,246,1159,185,131,38,43,27,'MED'
95,20,73,66,99,296,267,214,305,34,80,908,188,209,1108,178,173,38,34,29,'MED'
114,28,125,85,113,270,260,232,219,24,114,699,67,91,740,222,172,25,39,20,'MED'
64,20,104,35,90,278,297,216,28,29,97,964,99,179,1443,315,83,51,51,20,'MED'
92,20,91,66,72,349,285,162,20,32,117,732,73,123,808,120,391,45,42,20,'MED'
95,20,105,20,105,169,265,110,20,33,86,830,25,79,945,101,297,43,20,20,'MED'
78,20,65,20,94,415,249,250,113,20,106,1093,22,67,861,152,20,20,20,20,'MED'
204,20,153,111,257,173,190,297,122,75,140,515,77,142,981,259,85,42,48,56,'MED'
147,20,110,205,66,65,253,135,274,42,147,634,690,308,378,186,170,45,26,20,'MED'
320,20,191,233,205,224,247,202,176,36,148,534,287,308,626,219,102,45,52,66,'MED'
127,20,135,84,108,387,274,372,237,40,113,830,96,70,1102,196,104,28,44,49,'MED'
131,20,203,136,273,183,263,271,155,48,133,467,130,122,387,111,160,52,40,93,'MED'
69,36,86,47,84,100,244,205,20,20,139,1106,26,64,682,147,379,20,26,20,'MED'
63,20,102,22,115,198,277,123,51,35,98,842,20,109,747,137,74,61,47,20,'MED'
