0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
U16954_at,M31303_rna1_at,U79262_at,D80004_at,X00371_rna1_at,V01515_cds1_at,M20137_at,D85815_at,J03191_at,D42041_at,M57464_s_at,HG3514-HT3708_at,D14662_at,X76105_at,U07550_at,D00763_at,U79294_at,M16447_at,D25304_at,D13631_s_at
931,724,179,592,29,29,117,175,338,178,293,273,243,164,390,491,99,89,270,21
845,579,192,317,20,23,75,155,198,103,192,231,228,62,302,350,150,88,250,54
1107,608,215,387,20,25,68,155,197,182,73,415,185,80,272,378,86,106,140,20
1187,619,187,312,28,21,101,136,365,249,111,335,238,183,378,476,113,78,167,31
969,676,263,370,33,20,83,155,195,200,32,341,173,82,191,326,114,75,141,20
1172,651,233,278,41,22,24,134,73,191,38,432,138,208,245,337,87,102,120,20
1010,751,252,281,22,35,99,143,64,128,52,416,279,54,423,311,158,52,110,20
588,243,173,197,39,50,143,337,130,118,161,84,52,20,20,151,128,20,77,20
928,927,200,199,42,43,93,377,96,104,108,303,52,20,61,65,141,30,56,20
469,927,154,291,41,51,165,344,269,116,315,212,113,20,20,171,124,35,109,20
579,606,170,68,44,45,121,333,20,76,331,129,143,20,97,68,77,34,76,20
1237,871,299,320,53,46,149,334,133,94,57,190,57,20,20,93,88,44,26,20
812,1066,298,314,32,24,102,260,90,90,131,137,37,33,124,68,134,45,20,20
649,568,261,157,64,39,105,304,135,132,123,210,98,20,119,63,183,24,27,20
70,466,131,55,46,32,123,292,878,195,231,338,132,86,293,156,170,32,62,20
1032,746,215,307,38,22,160,254,223,165,277,227,112,50,143,132,111,42,87,20
880,472,142,321,39,35,112,224,365,198,176,324,196,84,214,263,137,38,212,34
984,581,171,322,37,36,86,190,367,170,186,213,151,82,194,245,100,47,197,20
1159,604,185,235,43,38,121,197,181,200,119,253,170,27,246,201,131,57,120,20
1108,908,178,296,34,38,80,267,305,99,188,214,73,29,209,95,173,34,66,20
740,699,222,270,39,25,114,260,219,113,67,232,125,20,91,114,172,24,85,28
1443,964,315,278,51,51,97,297,28,90,99,216,104,20,179,64,83,29,35,20
808,732,120,349,42,45,117,285,20,72,73,162,91,20,123,92,391,32,66,20
945,830,101,169,20,43,86,265,20,105,25,110,105,20,79,95,297,33,20,20
861,1093,152,415,20,20,106,249,113,94,22,250,65,20,67,78,20,20,20,20
981,515,259,173,48,42,140,190,122,257,77,297,153,56,142,204,85,75,111,20
378,634,186,65,26,45,147,253,274,66,690,135,110,20,308,147,170,42,205,20
626,534,219,224,52,45,148,247,176,205,287,202,191,66,308,320,102,36,233,20
1102,830,196,387,44,28,113,274,237,108,96,372,135,49,70,127,104,40,84,20
387,467,111,183,40,52,133,263,155,273,130,271,203,93,122,131,160,48,136,20
682,1106,147,100,26,20,139,244,20,84,26,205,86,20,64,69,379,20,47,36
747,842,137,198,47,61,98,277,51,115,20,123,102,20,109,63,74,35,22,20
407,573,189,300,42,46,132,232,309,221,308,449,215,45,362,254,114,83,176,20
699,576,148,418,64,26,83,273,112,113,268,178,41,40,144,70,109,44,214,20
874,696,204,320,59,49,126,229,106,197,262,214,187,49,225,276,200,89,191,20
872,791,208,385,40,43,88,203,196,148,210,250,134,108,255,220,86,70,180,20
848,631,185,353,42,42,102,226,309,277,175,216,177,87,237,226,92,97,153,20
1069,819,171,159,44,41,117,216,20,137,41,328,116,108,79,100,129,69,98,20
786,751,200,258,37,46,113,248,126,162,206,356,172,20,230,142,95,50,163,20
337,183,125,97,69,69,209,380,30,110,121,73,42,20,91,72,91,70,149,36
276,250,103,23,61,61,189,359,112,156,128,207,202,20,174,136,246,77,235,98
169,225,91,50,74,56,198,373,121,113,78,83,179,20,45,26,461,82,185,40
309,265,146,64,60,57,188,316,320,169,165,237,222,66,198,163,302,117,296,99
486,167,138,91,70,66,172,382,20,145,68,178,136,20,133,68,156,109,214,63
177,93,125,54,66,64,176,349,47,84,109,54,85,20,57,60,148,34,165,44
222,267,85,53,69,61,172,382,105,100,84,108,505,20,150,67,403,74,299,84
607,452,64,158,39,27,117,214,721,329,257,403,281,93,370,320,168,84,569,194
108,275,102,138,26,37,124,204,1132,323,281,591,197,85,405,268,142,37,165,20
211,395,109,114,36,45,90,216,924,339,307,458,340,72,389,397,104,40,178,20
455,508,132,164,33,63,128,198,881,347,303,553,312,57,390,285,104,101,180,20
261,515,110,91,27,38,108,183,754,436,283,457,329,76,663,425,104,58,209,20
54,404,75,138,40,20,109,147,1029,376,292,505,292,101,457,489,101,65,241,20
71,187,56,46,35,31,84,216,739,314,265,537,306,134,144,383,704,42,243,20
75,263,71,108,41,22,163,237,154,221,94,208,434,206,390,366,323,45,136,20
46,226,92,73,37,42,108,230,73,219,20,231,373,154,384,323,254,36,159,33
114,288,76,102,32,27,128,171,416,246,63,387,582,298,428,377,298,97,203,62
191,428,114,72,20,26,98,199,605,251,102,458,395,206,538,453,383,108,162,23
434,608,129,98,22,23,92,163,458,263,126,295,366,171,498,483,291,111,176,27
155,381,87,25,35,30,142,191,120,303,119,208,537,243,426,368,307,51,200,26
176,193,63,80,31,38,56,174,306,221,62,316,327,183,330,308,378,70,147,24
323,329,112,69,20,25,149,170,237,147,119,323,445,164,497,342,671,105,321,114
49,226,130,97,32,27,118,161,353,274,55,286,579,121,389,393,550,134,382,141
320,287,95,103,26,22,95,174,580,222,88,463,431,205,363,409,559,113,288,89
335,301,87,46,32,21,107,182,375,215,88,328,198,132,340,239,976,231,686,329
352,343,89,34,35,20,95,177,246,221,62,290,309,118,293,297,911,253,766,365
329,277,74,43,43,24,118,223,257,209,66,295,249,101,270,250,857,228,656,331
313,256,66,38,31,21,111,213,292,173,83,390,294,117,328,316,781,220,799,396
287,271,80,51,33,24,101,228,259,163,75,355,285,92,315,171,887,233,641,314
269,228,78,54,39,28,121,216,263,187,65,363,356,83,336,247,887,200,737,293
