@relation default
@attribute D00763_at integer
@attribute D13631_s_at integer
@attribute D14662_at integer
@attribute D25304_at integer
@attribute D42041_at integer
@attribute D45248_at integer
@attribute D50310_at integer
@attribute D80004_at integer
@attribute D85815_at integer
@attribute HG3514-HT3708_at integer
@attribute J03191_at integer
@attribute L25270_at integer
@attribute L36818_at integer
@attribute M16447_at integer
@attribute M20137_at integer
@attribute M31303_rna1_at integer
@attribute M57464_s_at integer
@attribute M93426_at integer
@attribute U06155_at integer
@attribute U07550_at integer
@attribute U16954_at integer
@attribute U17760_rna1_at integer
@attribute U51336_at integer
@attribute U79262_at integer
@attribute U79294_at integer
@attribute V01515_cds1_at integer
@attribute X00371_rna1_at integer
@attribute X54304_at integer
@attribute X76105_at integer
@attribute Z69915_at integer
@attribute Class {MED,MGL,RHB,EPD,JPA}
@data
491,21,243,270,178,141,989,592,175,273,338,22,105,89,117,724,293,20,59,390,931,54,492,179,99,29,29,123,164,160,'MED'
350,54,228,250,103,84,1120,317,155,231,198,21,60,88,75,579,192,81,52,302,845,41,419,192,150,23,20,123,62,172,'MED'
378,20,185,140,182,201,1232,387,155,415,197,22,25,106,68,608,73,85,41,272,1107,39,238,215,86,25,20,125,80,184,'MED'
476,31,238,167,249,143,1132,312,136,335,365,21,55,78,101,619,111,40,63,378,1187,20,268,187,113,21,28,176,183,164,'MED'
326,20,173,141,200,177,1030,370,155,341,195,25,40,75,83,676,32,205,58,191,969,46,214,263,114,20,33,124,82,157,'MED'
337,20,138,120,191,174,814,278,134,432,73,21,34,102,24,651,38,71,71,245,1172,53,200,233,87,22,41,145,208,158,'MED'
311,20,279,110,128,199,703,281,143,416,64,26,61,52,99,751,52,97,63,423,1010,57,252,252,158,35,22,95,54,186,'MED'
151,20,52,77,118,42,1034,197,337,84,130,53,32,20,143,243,161,20,20,20,588,114,228,173,128,50,39,45,20,184,'MED'
65,20,52,56,104,27,1321,199,377,303,96,30,20,30,93,927,108,22,20,61,928,115,199,200,141,43,42,92,20,124,'MED'
171,20,113,109,116,21,716,291,344,212,269,41,31,35,165,927,315,28,22,20,469,101,277,154,124,51,41,20,20,159,'MED'
68,20,143,76,76,20,745,68,333,129,20,46,20,34,121,606,331,40,20,97,579,126,173,170,77,45,44,35,20,56,'MED'
93,20,57,26,94,87,956,320,334,190,133,20,20,44,149,871,57,25,20,20,1237,124,240,299,88,46,53,37,20,154,'MED'
68,20,37,20,90,90,984,314,260,137,90,42,20,45,102,1066,131,84,20,124,812,91,254,298,134,24,32,53,33,127,'MED'
63,20,98,27,132,42,1307,157,304,210,135,46,20,24,105,568,123,35,20,119,649,103,207,261,183,39,64,20,20,85,'MED'
156,20,132,62,195,201,571,55,292,338,878,32,109,32,123,466,231,30,29,293,70,68,207,131,170,32,46,344,86,64,'MED'
132,20,112,87,165,39,2082,307,254,227,223,31,30,42,160,746,277,20,20,143,1032,49,302,215,111,22,38,57,50,396,'MED'
263,34,196,212,198,109,838,321,224,324,365,25,95,38,112,472,176,20,43,214,880,65,462,142,137,35,39,180,84,167,'MED'
245,20,151,197,170,82,1132,322,190,213,367,26,48,47,86,581,186,22,36,194,984,57,446,171,100,36,37,78,82,185,'MED'
201,20,170,120,200,114,1434,235,197,253,181,33,54,57,121,604,119,76,32,246,1159,52,262,185,131,38,43,51,27,166,'MED'
95,20,73,66,99,88,1479,296,267,214,305,45,24,34,80,908,188,46,20,209,1108,93,216,178,173,38,34,65,29,178,'MED'
114,28,125,85,113,149,1182,270,260,232,219,41,52,24,114,699,67,226,20,91,740,51,296,222,172,25,39,72,20,183,'MED'
64,20,104,35,90,36,957,278,297,216,28,42,22,29,97,964,99,22,20,179,1443,89,192,315,83,51,51,60,20,215,'MED'
92,20,91,66,72,25,1008,349,285,162,20,45,33,32,117,732,73,45,23,123,808,73,199,120,391,45,42,46,20,140,'MED'
95,20,105,20,105,49,435,169,265,110,20,35,20,33,86,830,25,42,24,79,945,81,79,101,297,43,20,20,20,90,'MED'
78,20,65,20,94,25,569,415,249,250,113,49,30,20,106,1093,22,105,33,67,861,80,143,152,20,20,20,20,20,139,'MED'
204,20,153,111,257,120,831,173,190,297,122,36,59,75,140,515,77,166,52,142,981,62,169,259,85,42,48,86,56,278,'MED'
147,20,110,205,66,51,1030,65,253,135,274,27,27,42,147,634,690,43,26,308,378,64,275,186,170,45,26,48,20,109,'MED'
320,20,191,233,205,43,927,224,247,202,176,35,69,36,148,534,287,25,51,308,626,100,212,219,102,45,52,92,66,152,'MED'
