@relation default
@attribute D00763_at integer
@attribute D13631_s_at integer
@attribute D14662_at integer
@attribute D25304_at integer
@attribute D42041_at integer
@attribute D45248_at integer
@attribute D50310_at integer
@attribute D80004_at integer
@attribute D85815_at integer
@attribute D87470_at integer
@attribute HG3514-HT3708_at integer
@attribute J03191_at integer
@attribute L06132_at integer
@attribute L08895_at integer
@attribute L25270_at integer
@attribute L36818_at integer
@attribute M16447_at integer
@attribute M20137_at integer
@attribute M31303_rna1_at integer
@attribute M57464_s_at integer
@attribute M75099_at integer
@attribute M83308_at integer
@attribute M93119_at integer
@attribute M93426_at integer
@attribute U06155_at integer
@attribute U07550_at integer
@attribute U09087_s_at integer
@attribute U16954_at integer
@attribute U17760_rna1_at integer
@attribute U51336_at integer
@attribute U79262_at integer
@attribute U79294_at integer
@attribute V01515_cds1_at integer
@attribute X00371_rna1_at integer
@attribute X04106_at integer
@attribute X52011_at integer
@attribute X54304_at integer
@attribute X65784_s_at integer
@attribute X76105_at integer
@attribute Z69915_at integer
@attribute Class {MED,MGL,RHB,EPD,JPA}
@data
491,21,243,270,178,141,989,592,175,84,273,338,437,43,22,105,89,117,724,293,96,198,628,20,59,390,75,931,54,492,179,99,29,29,370,49,123,166,164,160,'MED'
350,54,228,250,103,84,1120,317,155,151,231,198,419,47,21,60,88,75,579,192,139,180,760,81,52,302,59,845,41,419,192,150,23,20,388,31,123,205,62,172,'MED'
378,20,185,140,182,201,1232,387,155,166,415,197,325,20,22,25,106,68,608,73,184,157,596,85,41,272,62,1107,39,238,215,86,25,20,482,39,125,238,80,184,'MED'
476,31,238,167,249,143,1132,312,136,106,335,365,474,45,21,55,78,101,619,111,181,146,825,40,63,378,88,1187,20,268,187,113,21,28,497,33,176,197,183,164,'MED'
326,20,173,141,200,177,1030,370,155,88,341,195,517,20,25,40,75,83,676,32,113,146,536,205,58,191,65,969,46,214,263,114,20,33,351,42,124,206,82,157,'MED'
337,20,138,120,191,174,814,278,134,169,432,73,366,25,21,34,102,24,651,38,139,173,471,71,71,245,84,1172,53,200,233,87,22,41,478,36,145,215,208,158,'MED'
311,20,279,110,128,199,703,281,143,83,416,64,359,20,26,61,52,99,751,52,114,190,165,97,63,423,67,1010,57,252,252,158,35,22,253,47,95,206,54,186,'MED'
151,20,52,77,118,42,1034,197,337,44,84,130,137,20,53,32,20,143,243,161,41,330,396,20,20,20,105,588,114,228,173,128,50,39,363,87,45,85,20,184,'MED'
65,20,52,56,104,27,1321,199,377,86,303,96,213,24,30,20,30,93,927,108,65,418,192,22,20,61,66,928,115,199,200,141,43,42,445,64,92,118,20,124,'MED'
171,20,113,109,116,21,716,291,344,35,212,269,191,20,41,31,35,165,927,315,76,427,213,28,22,20,64,469,101,277,154,124,51,41,444,68,20,72,20,159,'MED'
68,20,143,76,76,20,745,68,333,20,129,20,181,20,46,20,34,121,606,331,67,523,169,40,20,97,35,579,126,173,170,77,45,44,339,72,35,21,20,56,'MED'
93,20,57,26,94,87,956,320,334,70,190,133,147,20,20,20,44,149,871,57,56,355,536,25,20,20,61,1237,124,240,299,88,46,53,439,90,37,169,20,154,'MED'
68,20,37,20,90,90,984,314,260,41,137,90,250,20,42,20,45,102,1066,131,70,363,459,84,20,124,55,812,91,254,298,134,24,32,556,51,53,98,33,127,'MED'
63,20,98,27,132,42,1307,157,304,20,210,135,154,20,46,20,24,105,568,123,197,349,128,35,20,119,68,649,103,207,261,183,39,64,333,64,20,32,20,85,'MED'
156,20,132,62,195,201,571,55,292,51,338,878,286,20,32,109,32,123,466,231,195,261,20,30,29,293,83,70,68,207,131,170,32,46,1009,43,344,217,86,64,'MED'
132,20,112,87,165,39,2082,307,254,55,227,223,205,20,31,30,42,160,746,277,23,265,701,20,20,143,90,1032,49,302,215,111,22,38,398,50,57,88,50,396,'MED'
263,34,196,212,198,109,838,321,224,70,324,365,299,81,25,95,38,112,472,176,108,205,686,20,43,214,87,880,65,462,142,137,35,39,426,54,180,97,84,167,'MED'
