0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
U16954_at,M31303_rna1_at,U79262_at,D80004_at,D50310_at,Z69915_at,M93119_at,U09087_s_at,X00371_rna1_at,V01515_cds1_at,M20137_at,D85815_at,U17760_rna1_at,L25270_at,M83308_at,X52011_at,J03191_at,D42041_at,M57464_s_at,HG3514-HT3708_at,X54304_at,D45248_at,X04106_at,L06132_at,D14662_at,X76105_at,U07550_at,D00763_at,U06155_at,L36818_at,M75099_at,X65784_s_at,U79294_at,M16447_at,D25304_at,D13631_s_at,M93426_at,U51336_at,D87470_at,L08895_at
931,724,179,592,989,160,628,75,29,29,117,175,54,22,198,49,338,178,293,273,123,141,370,437,243,164,390,491,59,105,96,166,99,89,270,21,20,492,84,43
845,579,192,317,1120,172,760,59,20,23,75,155,41,21,180,31,198,103,192,231,123,84,388,419,228,62,302,350,52,60,139,205,150,88,250,54,81,419,151,47
1107,608,215,387,1232,184,596,62,20,25,68,155,39,22,157,39,197,182,73,415,125,201,482,325,185,80,272,378,41,25,184,238,86,106,140,20,85,238,166,20
1187,619,187,312,1132,164,825,88,28,21,101,136,20,21,146,33,365,249,111,335,176,143,497,474,238,183,378,476,63,55,181,197,113,78,167,31,40,268,106,45
969,676,263,370,1030,157,536,65,33,20,83,155,46,25,146,42,195,200,32,341,124,177,351,517,173,82,191,326,58,40,113,206,114,75,141,20,205,214,88,20
1172,651,233,278,814,158,471,84,41,22,24,134,53,21,173,36,73,191,38,432,145,174,478,366,138,208,245,337,71,34,139,215,87,102,120,20,71,200,169,25
1010,751,252,281,703,186,165,67,22,35,99,143,57,26,190,47,64,128,52,416,95,199,253,359,279,54,423,311,63,61,114,206,158,52,110,20,97,252,83,20
588,243,173,197,1034,184,396,105,39,50,143,337,114,53,330,87,130,118,161,84,45,42,363,137,52,20,20,151,20,32,41,85,128,20,77,20,20,228,44,20
928,927,200,199,1321,124,192,66,42,43,93,377,115,30,418,64,96,104,108,303,92,27,445,213,52,20,61,65,20,20,65,118,141,30,56,20,22,199,86,24
469,927,154,291,716,159,213,64,41,51,165,344,101,41,427,68,269,116,315,212,20,21,444,191,113,20,20,171,22,31,76,72,124,35,109,20,28,277,35,20
579,606,170,68,745,56,169,35,44,45,121,333,126,46,523,72,20,76,331,129,35,20,339,181,143,20,97,68,20,20,67,21,77,34,76,20,40,173,20,20
1237,871,299,320,956,154,536,61,53,46,149,334,124,20,355,90,133,94,57,190,37,87,439,147,57,20,20,93,20,20,56,169,88,44,26,20,25,240,70,20
812,1066,298,314,984,127,459,55,32,24,102,260,91,42,363,51,90,90,131,137,53,90,556,250,37,33,124,68,20,20,70,98,134,45,20,20,84,254,41,20
649,568,261,157,1307,85,128,68,64,39,105,304,103,46,349,64,135,132,123,210,20,42,333,154,98,20,119,63,20,20,197,32,183,24,27,20,35,207,20,20
70,466,131,55,571,64,20,83,46,32,123,292,68,32,261,43,878,195,231,338,344,201,1009,286,132,86,293,156,29,109,195,217,170,32,62,20,30,207,51,20
1032,746,215,307,2082,396,701,90,38,22,160,254,49,31,265,50,223,165,277,227,57,39,398,205,112,50,143,132,20,30,23,88,111,42,87,20,20,302,55,20
880,472,142,321,838,167,686,87,39,35,112,224,65,25,205,54,365,198,176,324,180,109,426,299,196,84,214,263,43,95,108,97,137,38,212,34,20,462,70,81
984,581,171,322,1132,185,923,69,37,36,86,190,57,26,180,49,367,170,186,213,78,82,472,412,151,82,194,245,36,48,73,152,100,47,197,20,22,446,55,20
1159,604,185,235,1434,166,409,104,43,38,121,197,52,33,190,42,181,200,119,253,51,114,334,372,170,27,246,201,32,54,156,85,131,57,120,20,76,262,76,20
1108,908,178,296,1479,178,899,60,34,38,80,267,93,45,305,46,305,99,188,214,65,88,595,246,73,29,209,95,20,24,118,105,173,34,66,20,46,216,52,20
740,699,222,270,1182,183,233,113,39,25,114,260,51,41,235,47,219,113,67,232,72,149,371,230,125,20,91,114,20,52,83,133,172,24,85,28,226,296,71,20
1443,964,315,278,957,215,597,109,51,51,97,297,89,42,335,59,28,90,99,216,60,36,368,200,104,20,179,64,20,22,20,59,83,29,35,20,22,192,40,20
808,732,120,349,1008,140,1000,109,42,45,117,285,73,45,287,67,20,72,73,162,46,25,307,181,91,20,123,92,23,33,20,25,391,32,66,20,45,199,39,20
945,830,101,169,435,90,174,121,20,43,86,265,81,35,405,70,20,105,25,110,20,49,585,105,105,20,79,95,24,20,41,53,297,33,20,20,42,79,65,20
861,1093,152,415,569,139,201,66,20,20,106,249,80,49,319,41,113,94,22,250,20,25,102,179,65,20,67,78,33,30,20,88,20,20,20,20,105,143,20,20
981,515,259,173,831,278,686,28,48,42,140,190,62,36,167,45,122,257,77,297,86,120,304,303,153,56,142,204,52,59,116,72,85,75,111,20,166,169,100,20
378,634,186,65,1030,109,126,31,26,45,147,253,64,27,306,81,274,66,690,135,48,51,175,234,110,20,308,147,26,27,100,48,170,42,205,20,43,275,32,34
626,534,219,224,927,152,582,70,52,45,148,247,100,35,239,51,176,205,287,202,92,43,206,285,191,66,308,320,51,69,52,111,102,36,233,20,25,212,58,20
1102,830,196,387,996,193,534,64,44,28,113,274,90,40,195,54,237,108,96,372,61,100,399,231,135,49,70,127,20,36,122,157,104,40,84,20,114,152,104,20
387,467,111,183,713,160,481,52,40,52,133,263,73,38,224,63,155,273,130,271,71,131,247,193,203,93,122,131,49,72,112,154,160,48,136,20,20,124,76,20
682,1106,147,100,982,162,133,74,26,20,139,244,36,49,261,68,20,84,26,205,58,20,526,177,86,20,64,69,20,20,22,75,379,20,47,36,88,84,20,20
747,842,137,198,799,114,116,42,47,61,98,277,80,44,248,69,51,115,20,123,31,70,155,166,102,20,109,63,20,54,20,81,74,35,22,20,49,167,60,20
407,573,189,300,1669,216,124,47,42,46,132,232,67,36,251,51,309,221,308,449,100,141,590,419,215,45,362,254,35,102,130,131,114,83,176,20,23,331,60,20
699,576,148,418,883,149,554,39,64,26,83,273,67,49,325,58,112,113,268,178,33,47,248,116,41,40,144,70,20,45,65,131,109,44,214,20,20,168,67,20
874,696,204,320,1243,191,1060,39,59,49,126,229,72,39,244,52,106,197,262,214,27,82,357,329,187,49,225,276,23,90,88,128,200,89,191,20,122,254,92,20
872,791,208,385,1463,122,1142,72,40,43,88,203,69,32,228,44,196,148,210,250,77,96,303,288,134,108,255,220,55,64,109,164,86,70,180,20,20,329,47,20
848,631,185,353,848,210,577,138,42,42,102,226,64,27,234,53,309,277,175,216,69,116,339,334,177,87,237,226,20,63,100,147,92,97,153,20,20,238,47,20
1069,819,171,159,1087,222,773,38,44,41,117,216,71,47,212,65,20,137,41,328,62,94,496,127,116,108,79,100,41,59,66,169,129,69,98,20,87,156,141,59
786,751,200,258,1150,250,332,63,37,46,113,248,69,39,262,52,126,162,206,356,126,97,398,334,172,20,230,142,20,35,53,87,95,50,163,20,72,106,35,20
337,183,125,97,621,92,47,20,69,69,209,380,123,52,448,114,30,110,121,73,20,43,184,162,42,20,91,72,20,46,20,101,91,70,149,36,769,216,98,25
276,250,103,23,478,76,42,28,61,61,189,359,110,49,454,94,112,156,128,207,68,35,212,190,202,20,174,136,20,84,20,74,246,77,235,98,425,150,47,41
169,225,91,50,287,30,20,20,74,56,198,373,122,52,475,98,121,113,78,83,20,40,312,193,179,20,45,26,20,64,54,68,461,82,185,40,331,759,143,20
309,265,146,64,365,42,20,23,60,57,188,316,110,48,375,77,320,169,165,237,155,152,515,258,222,66,198,163,50,72,90,90,302,117,296,99,569,167,92,53
486,167,138,91,388,81,35,20,70,66,172,382,123,55,508,103,20,145,68,178,20,37,233,173,136,20,133,68,38,65,20,130,156,109,214,63,784,249,130,36
177,93,125,54,324,43,20,20,66,64,176,349,139,52,534,95,47,84,109,54,20,21,243,120,85,20,57,60,27,85,20,91,148,34,165,44,315,239,70,20
222,267,85,53,421,51,20,20,69,61,172,382,119,44,516,92,105,100,84,108,20,41,168,189,505,20,150,67,20,97,20,65,403,74,299,84,355,367,67,73
607,452,64,158,545,119,20,23,39,27,117,214,54,29,209,42,721,329,257,403,222,355,597,401,281,93,370,320,73,151,84,156,168,84,569,194,224,148,78,87
108,275,102,138,336,63,20,20,26,37,124,204,53,36,236,45,1132,323,281,591,415,230,688,497,197,85,405,268,58,116,146,130,142,37,165,20,508,107,74,20
211,395,109,114,396,86,20,21,36,45,90,216,59,36,226,46,924,339,307,458,395,412,689,472,340,72,389,397,65,142,100,157,104,40,178,20,20,96,74,20
455,508,132,164,629,42,20,21,33,63,128,198,58,29,185,35,881,347,303,553,356,394,663,560,312,57,390,285,60,256,44,229,104,101,180,20,20,96,67,20
261,515,110,91,644,58,20,51,27,38,108,183,52,29,211,38,754,436,283,457,353,384,697,569,329,76,663,425,45,143,165,180,104,58,209,20,45,146,67,20
54,404,75,138,619,38,20,20,40,20,109,147,99,24,172,27,1029,376,292,505,403,429,851,577,292,101,457,489,97,180,177,291,101,65,241,20,20,184,61,45
71,187,56,46,422,37,20,20,35,31,84,216,69,25,207,49,739,314,265,537,296,284,709,577,306,134,144,383,42,166,158,222,704,42,243,20,20,147,20,86
75,263,71,108,352,43,20,20,41,22,163,237,65,31,218,30,154,221,94,208,71,189,451,299,434,206,390,366,80,167,303,231,323,45,136,20,280,433,96,104
46,226,92,73,340,56,20,20,37,42,108,230,55,23,179,36,73,219,20,231,81,249,362,339,373,154,384,323,69,142,286,231,254,36,159,33,303,160,106,104
114,288,76,102,482,61,20,22,32,27,128,171,50,20,183,34,416,246,63,387,171,243,477,400,582,298,428,377,68,165,202,231,298,97,203,62,165,145,100,80
191,428,114,72,572,102,20,55,20,26,98,199,41,23,174,35,605,251,102,458,406,274,541,431,395,206,538,453,70,188,213,274,383,108,162,23,104,139,115,33
434,608,129,98,773,141,68,92,22,23,92,163,36,20,134,35,458,263,126,295,256,210,500,459,366,171,498,483,73,209,187,258,291,111,176,27,165,170,111,42
155,381,87,25,366,38,20,20,35,30,142,191,70,27,218,35,120,303,119,208,60,339,490,296,537,243,426,368,52,191,177,262,307,51,200,26,296,411,127,75
176,193,63,80,518,46,20,20,31,38,56,174,62,20,146,31,306,221,62,316,222,163,509,320,327,183,330,308,64,138,225,183,378,70,147,24,20,322,82,67
323,329,112,69,661,93,138,28,20,25,149,170,48,23,224,38,237,147,119,323,162,154,515,389,445,164,497,342,64,217,321,234,671,105,321,114,269,248,253,73
49,226,130,97,567,63,20,20,32,27,118,161,40,20,163,36,353,274,55,286,243,96,574,463,579,121,389,393,86,141,259,210,550,134,382,141,228,281,105,38
320,287,95,103,513,61,20,23,26,22,95,174,41,20,175,31,580,222,88,463,330,248,586,400,431,205,363,409,65,170,190,170,559,113,288,89,473,237,109,193
335,301,87,46,562,52,20,20,32,21,107,182,57,20,188,39,375,215,88,328,191,235,534,512,198,132,340,239,82,221,239,219,976,231,686,329,1035,626,228,113
352,343,89,34,526,47,20,20,35,20,95,177,54,20,195,39,246,221,62,290,179,181,516,467,309,118,293,297,63,240,238,226,911,253,766,365,872,678,266,108
329,277,74,43,515,66,20,20,43,24,118,223,63,23,210,42,257,209,66,295,148,160,487,433,249,101,270,250,66,199,230,180,857,228,656,331,874,593,227,119
313,256,66,38,549,76,20,20,31,21,111,213,59,20,239,39,292,173,83,390,176,193,649,467,294,117,328,316,73,243,231,229,781,220,799,396,997,590,235,123
287,271,80,51,600,64,20,20,33,24,101,228,63,24,251,48,259,163,75,355,167,163,561,354,285,92,315,171,57,237,216,209,887,233,641,314,1069,630,220,118
269,228,78,54,492,69,20,20,39,28,121,216,48,20,272,54,263,187,65,363,181,167,573,402,356,83,336,247,64,209,248,141,887,200,737,293,896,668,236,122
